split,model,seed,accuracy,precision,recall,f1,positive_rate_pred,positive_rate_true,n_samples,threshold,coverage,auc
val,TCN,2,0.8636363636363636,0.9226314570303451,0.8831485587583149,0.9024583663758922,0.6837187203040862,0.7142857142857143,12628,0.01,1.0,0.9384448238946711
val,TCN,3,0.8659328476401648,0.9540215640104102,0.8534368070953436,0.9009304230791737,0.6389768767817549,0.7142857142857143,12628,0.02,1.0,0.9308685029817946
val,TCN,4,0.8519955654101996,0.9359834166565053,0.8509977827050997,0.8914697172057372,0.6494298384542287,0.7142857142857143,12628,0.02,1.0,0.9229965529913815
val,TCN,5,0.8753563509661071,0.938309394866965,0.8835920177383592,0.9101290396254424,0.6726322458029775,0.7142857142857143,12628,0.23,1.0,0.9269517480248376
val,TCN,6,0.8601520430788724,0.9819293117193728,0.8192904656319291,0.8932672549256618,0.5959771935381691,0.7142857142857143,12628,0.46,1.0,0.8971861925457594
val,TCN,7,0.8656952803294267,0.972516129032258,0.8355875831485587,0.8988670244484198,0.6137155527399429,0.7142857142857143,12628,0.04,1.0,0.9280760511256092
val,TCN,8,0.8586474501108647,0.9770539364367664,0.8213968957871397,0.892489309160995,0.600490972442192,0.7142857142857143,12628,0.27,1.0,0.8877738740222516
val,TCN,9,0.8667247386759582,0.9420412097843114,0.866740576496674,0.9028234886540794,0.6571903706050047,0.7142857142857143,12628,0.01,1.0,0.9354422421718673
test_main,RF,0,0.828,0.9773960216998192,0.7721428571428571,0.8627294493216281,0.553,0.7,4000,0.4,1.0,0.9016904761904763
test_main,RF,1,0.82925,0.9710725411659991,0.7792857142857142,0.8646720824252031,0.56175,0.7,4000,0.38,1.0,0.8987982142857143
test_main,RF,2,0.829,0.9723214285714286,0.7778571428571428,0.8642857142857143,0.56,0.7,4000,0.38,1.0,0.904304761904762
test_main,RF,3,0.83125,0.9711751662971175,0.7821428571428571,0.8664688427299704,0.56375,0.7,4000,0.38,1.0,0.9022050595238095
