Method,seed,tau,f1_iid,f1_tds,performance_drop,worst_case_recall,instability,prr,recall_tds,precision_tds,auc_tds
Cao et al. (2023),1,0.67,0.9008845268387253,0.8092706782904528,0.09161384854827248,0.0,0.040778435363907066,0.8245297338841387,0.6796428571428571,1.0,0.8881967261904762
Cao et al. (2023),2,0.19,0.8974970202622169,0.847874269595003,0.04962275066721389,0.0,0.0381864158921406,0.9001176247391387,0.7514285714285714,0.9727230698104484,0.8878776785714286
Cao et al. (2023),3,0.29000000000000004,0.8942952007244189,0.8225671140939598,0.07172808663045915,0.0,0.03962144490588365,0.8528718008061873,0.7003571428571429,0.9964430894308943,0.8716622023809524
Cao et al. (2023),4,0.09999999999999999,0.8940507229201232,0.8341463414634146,0.05990438145670862,0.0,0.04484749549561191,0.8762422360248447,0.7328571428571429,0.9679245283018868,0.8702011904761906
Cao et al. (2023),5,0.29000000000000004,0.9032141349574866,0.8278433809819764,0.07537075397551019,0.0,0.03943890758970623,0.8594490967705014,0.7135714285714285,0.9856931425752343,0.8864812500000001
Cao et al. (2023),6,0.19,0.8961801561837883,0.8204806687565308,0.07569948742725752,0.0,0.042413364654815405,0.8543183309530242,0.7010714285714286,0.9889168765743073,0.8878309523809524
Cao et al. (2023),7,0.09,0.8974420272531676,0.837854374872527,0.059587652380640566,0.0,0.04078545142533789,0.8813018494558185,0.7335714285714285,0.9766999524488825,0.8943645833333334
Cao et al. (2023),8,0.13,0.8948465892165625,0.8337774134043862,0.0610691758121763,0.0,0.03717647309310383,0.8724881110899753,0.7264285714285714,0.9783549783549783,0.882428869047619
Cao et al. (2023),9,0.04,0.9005141695563793,0.8386167146974063,0.06189745485897302,0.0,0.04322226756154705,0.8713384676669765,0.7275,0.9897959183673469,0.9001229166666666
UTAR (Ours),0,0.4100000000000001,0.891513353115727,0.8878326996197718,0.003680653495955144,0.58,0.0250105286016695,1.0014692736367612,0.8339285714285715,0.9491869918699188,0.8462950892857144
UTAR (Ours),1,0.4100000000000001,0.8997322225528117,0.875023850410227,0.0247083721425847,0.0851449275362318,0.0271480140096059,0.9770814436885866,0.8189285714285715,0.9393691110200736,0.8290861607142856
UTAR (Ours),2,0.4100000000000001,0.9011725293132328,0.8885890516576715,0.012583477655561226,0.0871212121212121,0.0252960474801955,0.9858461042409528,0.8232142857142857,0.9652428810720268,0.8635232142857143
UTAR (Ours),3,0.4100000000000001,0.9009664717814104,0.8817535089405883,0.01921296284082208,0.0465367965367965,0.023840058453431,0.9782460222865468,0.8189285714285715,0.955018742190754,0.8573788690476191
UTAR (Ours),4,0.4100000000000001,0.897803247373448,0.8899595297745231,0.007843717598924882,0.0851449275362318,0.023651107006214,0.9891327887537992,0.8246428571428571,0.9665131854332356,0.8657392857142857
UTAR (Ours),5,0.4100000000000001,0.9096104501982738,0.8889307938902508,0.020679656308023042,0.4891304347826087,0.0275642562509571,0.9735744509369332,0.8417857142857142,0.9416699960047944,0.8463813988095238
UTAR (Ours),6,0.4100000000000001,0.8996818154529627,0.8787407695297318,0.020941045923230872,0.0754985754985755,0.0258378461834423,0.9720605898838915,0.8075,0.9637681159420288,0.8534290178571429
UTAR (Ours),7,0.4100000000000001,0.902336728579988,0.8853540252182347,0.016982703361753337,0.0851449275362318,0.0238029241953855,0.9762682602921646,0.815,0.9690021231422504,0.867660119047619
UTAR (Ours),8,0.4100000000000001,0.8984168865435356,0.8687221252666278,0.029694761276907733,0.0754985754985755,0.0251640246852419,0.9632892804698971,0.8,0.9503606279168434,0.83585625
UTAR (Ours),9,0.4100000000000001,0.897133624558674,0.8899188876013905,0.007214736957283474,0.1483516483516483,0.0264556285878026,0.9901509376429334,0.8228571428571428,0.9688814129520604,0.8720958333333333
