dataset,q,seed,f1,recall,precision,roc_auc,gray_ratio,llm_call_rate,shortcut_filter_rate,xgb_shortcut_rate,instability,worst_case_recall,prr,ensemble_entropy_mean,model_discrepancy_mean,llm_calls,billed_llm_calls,cache_hits,cache_hit_rate,prompt_tokens,completion_tokens,total_tokens,cost_usd,avg_cost_per_call_usd,billed_prompt_tokens,billed_completion_tokens,billed_total_tokens,billed_cost_usd,billed_avg_cost_per_call_usd,llm_only_latency_ms,llm_only_avg_latency_ms_per_sample,billed_llm_only_latency_ms,billed_llm_only_avg_latency_ms_per_sample,uses_actual_api_usage,base_latency_ms,routing_feature_latency_ms,routing_overhead_ms,mode_wall_latency_ms,total_latency_ms,avg_latency_ms_per_sample,tau,gray_margin,entropy_threshold,discrepancy_threshold,mode
val,0.4,1,0.8997322225528117,0.8381374722838137,0.9710982658959536,0.8923825042649741,0.2580772885650934,0.0435540069686411,0.2145232815964523,0.2145232815964523,0.0037719420629364,0.0,1.0,0.3797202808458657,0.07788207223162,550,0,0,0.0,522500,66000,588500,0.117975,0.0002144999999999,0,0,0,0.0,0.0,495000.0,39.198606271777,0.0,0.0,False,2589.3835160008166,6.279250002990011,0.0,7.182625002315035,497595.6627660038,39.40415447941113,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.4,2,0.9011725293132328,0.8350332594235034,0.9786902286902288,0.8957466101444929,0.2659961989230281,0.041495090275578,0.2245011086474501,0.2245011086474501,0.0036407039331946,0.0,1.0,0.3778964601857879,0.0770701409409074,524,0,0,0.0,497800,62880,560680,0.112398,0.0002144999999999,0,0,0,0.0,0.0,471600.0,37.345581248020274,0.0,0.0,False,2589.3835160008166,5.819707999762613,0.0,7.174291997216642,474195.2032240006,37.55109306493511,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.4,3,0.9009664717814104,0.837139689578714,0.9753293722552312,0.8943669770551768,0.2630662020905923,0.0380899588216661,0.2249762432689262,0.2249762432689262,0.0037817457378753,0.0,1.0,0.3808220284342788,0.0800929548690703,481,0,0,0.0,456950,57720,514670,0.1031745,0.0002145,0,0,0,0.0,0.0,432900.0,34.280962939499524,0.0,0.0,False,2589.3835160008166,5.856334002601216,0.0,7.431541998812463,435495.2398500034,34.48647765679469,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.4,4,0.897803247373448,0.8337028824833703,0.9725814795654424,0.8938439953589215,0.262987012987013,0.0399904973075704,0.2229965156794425,0.2229965156794425,0.0041363271153326,0.0,1.0,0.3868820637868209,0.0815039933315976,505,0,0,0.0,479750,60600,540350,0.1083224999999999,0.0002144999999999,0,0,0,0.0,0.0,454500.0,35.99144757681343,0.0,0.0,False,2589.3835160008166,5.957082998065744,0.0,7.348332997935358,457095.3405989989,36.196970272331235,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.4,5,0.9096104501982738,0.8646341463414634,0.9595226377952756,0.9051656272584696,0.2410516312955337,0.054482103262591,0.1865695280329426,0.1865695280329426,0.0051920697395471,0.0,1.0,0.3942566887675946,0.0814142940421813,688,0,0,0.0,653600,82560,736160,0.1475759999999999,0.0002144999999999,0,0,0,0.0,0.0,619200.0,49.03389293633196,0.0,0.0,False,2589.3835160008166,6.100040998717304,0.0,7.284167000761954,621795.4835569996,49.239426952565694,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.4,6,0.8996818154529627,0.8307095343680709,0.9811444284404872,0.8954347569579304,0.2756572695597086,0.0459296800760215,0.229727589483687,0.229727589483687,0.0036713168857691,0.0,1.0,0.3800130326617023,0.0768492546124022,580,0,0,0.0,551000,69600,620600,0.1244099999999999,0.0002144999999999,0,0,0,0.0,0.0,522000.0,41.33671206841939,0.0,0.0,False,2589.3835160008166,6.210334002389573,0.0,7.382708001387073,524595.5938500032,41.542254818657206,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.4,7,0.902336728579988,0.8348115299334812,0.9817470664928292,0.8940259020358798,0.2709851124485271,0.0381691479252454,0.2328159645232816,0.2328159645232816,0.0033275744875859,0.0,1.0,0.3767564759733551,0.0782279755599556,482,0,0,0.0,457900,57840,515740,0.103389,0.0002144999999999,0,0,0,0.0,0.0,433800.0,34.35223313272094,0.0,0.0,False,2589.3835160008166,5.961249997199047,0.0,7.184165999206016,436395.344765998,34.557756158219675,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.4,8,0.8984168865435356,0.8304878048780487,0.978448275862069,0.8929548342928502,0.2709851124485271,0.039436173582515,0.231548938866012,0.231548938866012,0.0035002732341805,0.0,1.0,0.3822953811852591,0.0780204802432647,498,0,0,0.0,473100,59760,532860,0.106821,0.0002145,0,0,0,0.0,0.0,448200.0,35.49255622426354,0.0,0.0,False,2589.3835160008166,5.947875000856584,0.0,7.323833000555169,450795.3313910017,35.69807819060831,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.4,9,0.897133624558674,0.8310421286031042,0.9746456897672604,0.8896691449402904,0.2605321507760532,0.0389610389610389,0.2215711118150142,0.2215711118150142,0.0040621160292412,0.0,1.0,0.3797341956060401,0.0797808194556058,492,0,0,0.0,467400,59040,526440,0.1055339999999999,0.0002144999999999,0,0,0,0.0,0.0,442800.0,35.064935064935064,0.0,0.0,False,2589.3835160008166,6.187499999214197,0.0,7.029915999737568,445395.571016,35.27047600696864,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,selective_no_graph
val,0.6,0,0.8941358391816343,0.833370288248337,0.9644598409032588,0.8870820141002256,0.0,0.0,0.0,0.0,0.0043092646897814,0.0,1.0,0.3950737457725581,0.0850487596919726,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,7.845916989026591,4.0303749847225845,4.0303749847225845,2601.259807974566,0.2059914323704914,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,1,0.9016168486367162,0.8376940133037694,0.9761012789045344,0.8851405597809254,0.0,0.0,0.0,0.0,0.0040764367288193,0.0,1.0,0.3797202808458657,0.07788207223162,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.846041982294992,3.807541012065485,3.807541012065485,2599.037098995177,0.2058154180388958,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,2,0.9016452503902966,0.8323725055432373,0.9834948912758712,0.8964970673693836,0.0,0.0,0.0,0.0,0.0040718542007012,0.0,1.0,0.3778964601857879,0.0770701409409074,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.736458988394588,3.698915999848395,3.698915999848395,2598.8188909890596,0.2057981383424975,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
