dataset,q,mode,n_seeds,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,roc_auc_mean,roc_auc_std,prr_mean,prr_std,gray_ratio_mean,gray_ratio_std,llm_call_rate_mean,llm_call_rate_std,worst_case_recall_mean,worst_case_recall_std,instability_mean,instability_std,cost_usd_mean,cost_usd_std,billed_cost_usd_mean,billed_cost_usd_std,base_latency_ms_mean,base_latency_ms_std,routing_feature_latency_ms_mean,routing_feature_latency_ms_std,routing_overhead_ms_mean,routing_overhead_ms_std,mode_wall_latency_ms_mean,mode_wall_latency_ms_std,llm_only_latency_ms_mean,llm_only_latency_ms_std,llm_only_avg_latency_ms_per_sample_mean,llm_only_avg_latency_ms_per_sample_std,billed_llm_only_latency_ms_mean,billed_llm_only_latency_ms_std,billed_llm_only_avg_latency_ms_per_sample_mean,billed_llm_only_avg_latency_ms_per_sample_std,total_latency_ms_mean,total_latency_ms_std,avg_latency_ms_per_sample_mean,avg_latency_ms_per_sample_std,prompt_tokens_mean,prompt_tokens_std,completion_tokens_mean,completion_tokens_std,total_tokens_mean,total_tokens_std,billed_prompt_tokens_mean,billed_prompt_tokens_std,billed_completion_tokens_mean,billed_completion_tokens_std,billed_total_tokens_mean,billed_total_tokens_std,llm_calls_mean,llm_calls_std,billed_llm_calls_mean,billed_llm_calls_std,cache_hits_mean,cache_hits_std,cache_hit_rate_mean,cache_hit_rate_std,uses_actual_api_usage_mean,uses_actual_api_usage_std,xgb_shortcut_rate_mean,xgb_shortcut_rate_std,shortcut_filter_rate_mean,shortcut_filter_rate_std,tau_mean,tau_std,gray_margin_mean,gray_margin_std,entropy_threshold_mean,entropy_threshold_std,discrepancy_threshold_mean,discrepancy_threshold_std,ensemble_entropy_mean_mean,ensemble_entropy_mean_std,model_discrepancy_mean_mean,model_discrepancy_mean_std
main,0.4,ensemble_only,10,0.8728287195815287,0.0044081057943289054,0.7795714285714286,0.007479753473085903,0.9915212503527954,0.0065756680949729,0.9165297916666667,0.007124102634977125,0.9323125663209169,0.006338268998109857,0.0,0.0,0.0,0.0,0.0681159420289855,0.14360101451972349,0.018113967415615488,0.00036266365895040856,0.0,0.0,0.0,0.0,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,1.9613040996773634,0.025286272291223533,1.9613040996773634,0.025286272291223533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.658657187508,0.21964361866206678,0.19516466429687696,5.4910904665518436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,no_llm,10,0.8770946661719548,0.006331449694112567,0.7927500000000001,0.009464173404544774,0.9816545712871635,0.009194907367947695,0.9064855505952382,0.007406689828481724,0.942160382101559,0.009963062701033924,0.307475,0.009096282818333605,0.0,0.0,0.07370652173913042,0.15553974742079676,0.01582977100906193,0.0007363397956370961,0.0,0.0,0.0,0.0,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,1.9894957000360591,0.09958187673328936,1.9894957000360591,0.09958187673328936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.6868487878667,0.1882346334251154,0.1951717121969666,4.705865835626303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24532500000000002,0.009233882354315175,0.24532500000000002,0.009233882354315175,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,selective,10,0.8834825241909018,0.007275968455273661,0.8206785714285714,0.01196111661416258,0.9569013187543985,0.011275744575354706,0.8537445238095238,0.014224213928201314,0.9807119151832466,0.010982704227980509,0.307475,0.009096282818333605,0.06215,0.007541735727123946,0.1757572025398112,0.19196518094190584,0.02537704354539453,0.0013864912953616751,0.06665600999999997,0.008090987189521448,0.0030295649999999797,0.0013728319005799734,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,0.0,0.0,19578.595854100422,9085.542019951687,489058.5892290201,221080.29703116845,122.26464730725502,55.27007425779211,13736.10586219911,6576.974110700329,3.4340264655497776,1.6442435276750822,489837.28658210783,221080.19945395947,122.45932164552698,55.27004986348985,436426.2,52974.07601165771,1986.8,241.46396096404212,438413.0,53215.53559921305,19843.1,8989.653354458855,88.5,40.661884964778615,19931.6,9030.292885615616,248.6,30.16694290849579,11.3,5.121848624601603,237.3,27.588443635374254,0.9552468831595815,0.017305545565160386,1.0,0.0,0.24532500000000002,0.009233882354315175,0.24532500000000002,0.009233882354315175,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,selective_no_filter,10,0.8728271090565756,0.005438896953218757,0.8709999999999999,0.008597513219535675,0.8747676619170874,0.009348107961090679,0.690677931547619,0.01208665218923908,1.039795163512667,0.010461656053793294,0.307475,0.009096282818333605,0.307475,0.009096282818333605,0.38572736683606246,0.20292029178594984,0.05958708125313711,0.0017770734136924248,0.32921791499999997,0.009769223346932452,0.07654433999999996,0.005611085264545538,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,0.0,0.0,508136.8801999997,61817.52870232169,2246488.320286184,958226.2065242848,561.6220800715461,239.5565516310712,361820.110622299,54357.802017783135,90.45502765557475,13.58945050444578,2247267.0176392724,958226.0841908953,561.816754409818,239.5565210477238,2157538.1,63998.50996260252,9312.0,283.08930667822045,2166850.1,64280.912438124105,502142.8,36807.42516516048,2038.2,150.02059117927038,504181.0,36957.37681888872,1229.9,36.38513127333441,286.5,21.030401274768337,943.4,45.57582205024453,0.7667706154019338,0.01974753735466854,1.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,selective_no_graph,10,0.883563848862598,0.007211287047125149,0.8207857142857142,0.011940185392651327,0.9569470742606938,0.011236641979848281,0.8539274851190475,0.013997413136303009,0.9808401819991097,0.010972977492985756,0.307475,0.009096282818333605,0.06215,0.007541735727123946,0.1757572025398112,0.19196518094190584,0.025355717205903024,0.0013703281406265055,0.06663685499999997,0.008085595735643101,0.00236515499999996,0.0011162588768963868,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,0.0,0.0,15482.884316699347,6842.010779573452,597129.83393364,88863.84516772315,149.28245848341004,22.215961291930785,10894.250499300688,5023.817058714593,2.723562624825172,1.2559542646786481,597908.531286728,88863.83123504413,149.47713282168198,22.215957808761026,436297.7,52937.11690938389,1987.0,241.71838527049982,438284.7,53178.83051041604,15491.7,7309.838181063473,69.0,32.99831645537222,15560.7,7342.809741509037,248.6,30.16694290849579,8.8,4.157990967870047,239.8,28.677517326295874,0.9649194232937394,0.014690907306047362,1.0,0.0,0.24532500000000002,0.009233882354315175,0.24532500000000002,0.009233882354315175,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.6,ensemble_only,10,0.8728287195815287,0.0044081057943289054,0.7795714285714286,0.007479753473085903,0.9915212503527954,0.0065756680949729,0.9165297916666667,0.007124102634977125,0.9323125663209169,0.006338268998109857,0.0,0.0,0.0,0.0,0.0681159420289855,0.14360101451972349,0.018113967415615488,0.00036266365895040856,0.0,0.0,0.0,0.0,774.4673404886846,0.0,4.082587503944524,0.2140586804300184,2.0865583966951817,0.039759822611191466,2.0865583966951817,0.039759822611191466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.6364863893243,0.2105094681754218,0.19515912159733104,5.262736704386619e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,5.851389114294502e-17,0.2564322105611923,0.0,0.7228677466422824,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.6,no_llm,10,0.8770946661719548,0.006331449694112567,0.7927500000000001,0.009464173404544774,0.9816545712871635,0.009194907367947695,0.9064855505952382,0.007406689828481724,0.942160382101559,0.009963062701033924,0.39987500000000004,0.008721978942113235,0.0,0.0,0.07370652173913042,0.15553974742079676,0.01582977100906193,0.0007363397956370961,0.0,0.0,0.0,0.0,774.4673404886846,0.0,4.082587503944524,0.2140586804300184,2.0958167006028816,0.15861154473634254,2.0958167006028816,0.15861154473634254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.645744693232,0.341121063422071,0.195161436173308,8.528026585550078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31484999999999996,0.01079107141215469,0.31484999999999996,0.01079107141215469,0.41000000000000003,5.851389114294502e-17,0.2564322105611923,0.0,0.7228677466422824,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.6,selective,10,0.8830248971133863,0.006795796264652901,0.8324285714285715,0.01273397797278359,0.9404131424102193,0.011504133912067874,0.8250259821428572,0.014951244937979587,0.994742882915326,0.011073411255109852,0.39987500000000004,0.008721978942113235,0.08502500000000002,0.00944608237430853,0.20169744767055975,0.21772905432831427,0.029038524303118134,0.0013534253934008348,0.09118676999999997,0.010129282385934356,0.0,0.0,774.4673404886846,0.0,4.716808399462025,0.17272383194615218,0.0,0.0,72.87616650028212,17.958074395439116,697390.6499830626,309545.5192465845,174.3476624957657,77.38637981164611,0.0,0.0,0.0,0.0,698169.834131951,309545.4112967104,174.54245853298772,77.38635282417758,597039.8,66324.92168240968,2718.0,300.91010100840566,599757.8,66625.82852818168,0.0,0.0,0.0,0.0,0.0,0.0,340.1,37.78432949723411,0.0,0.0,340.1,37.78432949723411,1.0,0.0,1.0,0.0,0.31484999999999996,0.01079107141215469,0.31484999999999996,0.01079107141215469,0.41000000000000003,5.851389114294502e-17,0.2564322105611923,0.0,0.7228677466422824,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.6,selective_no_filter,10,0.8696397623436829,0.005042901187880868,0.8801428571428571,0.009260037760167502,0.8594784699081917,0.007683942552411606,0.6577613244047618,0.009933752242266135,1.0507091805725697,0.01117937384243692,0.39987500000000004,0.008721978942113235,0.39987500000000004,0.008721978942113235,0.4085711788211788,0.19926008682399943,0.06696500082383275,0.002095915074593183,0.4279973999999999,0.009383723000760387,0.09555265499999996,0.007725708332913557,774.4673404886846,0.0,4.082587503944524,0.2140586804300184,49003.2448317681,149959.21451120003,2325954.7650666996,1224535.001568084,3684513.704900848,1610720.589058412,921.128426225212,402.680147264603,1208992.3997015606,575401.3124994423,302.24809992539014,143.85032812486054,3734295.4996606084,1592205.91054643,933.5738749151521,398.0514776366075,2805310.4,61470.770590040054,12001.4,272.30383357157825,2817311.8,61742.610220531205,626807.7,50689.996828324576,2552.5,203.76470635405818,629360.2,50893.67717506763,1599.5,34.887915768452935,357.6,28.98352022174747,1241.9,50.794684761301546,0.7762414912186053,0.019754499547800248,1.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,5.851389114294502e-17,0.2564322105611923,0.0,0.7228677466422824,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.6,selective_no_graph,10,0.8830368687446132,0.006801953264692754,0.832392857142857,0.012756495388749017,0.9404857926559304,0.011469899206450605,0.8251520238095239,0.014866744423683017,0.9947000390309739,0.011094513618119991,0.39987500000000004,0.008721978942113235,0.08502500000000002,0.00944608237430853,0.20169744767055975,0.21772905432831427,0.029002731321730944,0.0013741271006688053,0.09115669499999997,0.010126021583783536,0.0,0.0,774.4673404886846,0.0,4.082587503944524,0.2140586804300184,0.0,0.0,66.97001689462923,16.809431157273885,832845.4753664744,132145.9748150881,208.2113688416186,33.03649370377203,0.0,0.0,0.0,0.0,833624.0252944669,132145.9182194236,208.4060063236168,33.036479554855894,596840.5,66303.60010378186,2717.7,300.8089279112425,599558.2,66604.40263192484,0.0,0.0,0.0,0.0,0.0,0.0,340.1,37.78432949723411,0.0,0.0,340.1,37.78432949723411,1.0,0.0,1.0,0.0,0.31484999999999996,0.01079107141215469,0.31484999999999996,0.01079107141215469,0.41000000000000003,5.851389114294502e-17,0.2564322105611923,0.0,0.7228677466422824,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
